method,split,auc,precision_at_10,precision_at_25,precision_at_50,mrr,auc_ci_low,auc_ci_high
Jaccard,val,0.6189999999999999,0.7,0.68,0.54,0.070112713837435,0.5164978375934879,0.7224714087995338
Jaccard,test,0.7129371797727778,1.0,0.92,0.8,0.03703912223385544,0.6597306130210125,0.7636330856302074
Adamic-Adar,val,0.6264,0.7,0.68,0.54,0.07505927823067457,0.5281541846264368,0.7265534307344825
Adamic-Adar,test,0.7272499443083091,1.0,0.92,0.88,0.03773370318294664,0.6743338319905329,0.7783783262248858
Preferential,val,0.579,0.7,0.6,0.52,0.07248452343195544,0.46148177083333336,0.6857278687337003
Preferential,test,0.7330418801514813,0.9,0.88,0.92,0.0367932522854856,0.6759148313289521,0.7858023161288603
Node2Vec,val,0.5508,0.6,0.56,0.54,0.06354101850621544,0.43309656141419456,0.6724331938162936
Node2Vec,test,0.7111271998217865,0.5,0.6,0.58,0.021096011296944366,0.6457277152302914,0.7720377451339984
GraphSAGE,val,0.47640000000000005,0.5,0.44,0.48,0.037778142938569174,0.3544370882740448,0.5907568072024593
GraphSAGE,test,0.5472265537981732,0.7,0.64,0.56,0.028281443517051835,0.47685684624606417,0.6161778631907309
