StockA,StockB,PredScore,MidtermBucket,EmergedInEval
GULF,OR,324,new,yes
KBANK,OR,270,hype-only,yes
GULF,TOP,270,new,yes
ADVANC,OR,234,both,yes
OR,TISCO,198,new,no
OR,TTB,180,new,no
BBL,OR,180,new,no
GULF,TTB,180,new,yes
KTB,SCC,170,new,no
KBANK,PTTEP,165,hype-only,yes
GULF,KKP,162,new,yes
KKP,OR,162,new,no
PTT,TISCO,154,hype-only,yes
GPSC,KTB,153,new,no
GPSC,SCB,153,new,no
SCC,TOP,150,both,yes
ADVANC,PTTEP,143,both,yes
PTT,TTB,140,new,no
BBL,PTT,140,hype-only,yes
KTB,PTTGC,136,new,no
PTTGC,SCB,136,hype-only,yes
TOP,TRUE,135,hype-only,yes
GPSC,KBANK,135,new,no
ADVANC,SCC,130,hype-only,yes
CPF,GULF,126,new,yes
OR,TCAP,126,new,no
GULF,TCAP,126,new,no
PTT,TRUE,126,hype-only,yes
KKP,PTT,126,new,no
PTTEP,TISCO,121,hype-only,yes
