company,company_name,sector,stakeholder,pct
ADVANC,Advanced Info Service,Information & Communication Technology,บริษัท  กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),40.44
ADVANC,Advanced Info Service,Information & Communication Technology,SINGTEL STRATEGIC INVESTMENTS PTE LTD.,19.10
ADVANC,Advanced Info Service,Information & Communication Technology,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,7.63
ADVANC,Advanced Info Service,Information & Communication Technology,RAFFLE NOMINEES (PTE) LTD S/A SINGTEL STRATEGIC INVESTMENTS PTE LTD.,5.67
ADVANC,Advanced Info Service,Information & Communication Technology,กองทุนรวม  วายุภักษ์หนึ่ง,2.97
AOT,Airports of Thailand,Transportation & Logistics,กระทรวงการคลัง,70.00
AOT,Airports of Thailand,Transportation & Logistics,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,3.28
AOT,Airports of Thailand,Transportation & Logistics,กองทุนรวม  วายุภักษ์หนึ่ง,2.42
AOT,Airports of Thailand,Transportation & Logistics,สำนักงานประกันสังคม,1.37
AOT,Airports of Thailand,Transportation & Logistics,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.20
AWC,Asset World Corp,Property Development,บริษัท  ทีซีซี บริหารธุรกิจ จำกัด,44.96
AWC,Asset World Corp,Property Development,บริษัท  ทีซีซี รีเทล จำกัด,29.98
AWC,Asset World Corp,Property Development,NOMURA SINGAPORE LIMITED-CUSTOMER SEGREGATED ACCOUNT,4.47
AWC,Asset World Corp,Property Development,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,2.16
AWC,Asset World Corp,Property Development,กองทุนรวม  วายุภักษ์หนึ่ง,1.91
BANPU,Banpu,Energy & Utilities,บริษัท  น้ำตาลมิตรผล จำกัด,8.26
BANPU,Banpu,Energy & Utilities,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,8.09
BANPU,Banpu,Energy & Utilities,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.83
BANPU,Banpu,Energy & Utilities,นาย ประทีป ตั้งมติธรรม,1.84
BANPU,Banpu,Energy & Utilities,บริษัท  ทุนมิตรสยาม จำกัด,1.73
BBL,Bangkok Bank,Banking,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,23.38
BBL,Bangkok Bank,Banking,บริษัท  ซิตี้เรียลตี้ จำกัด,4.70
