src,dst,weight
scouty.de,newsticker.welt.de,162000
guardian.co.uk,indeed.com,11898
sportsnipe.com,us.rd.yahoo.com,5184
forum.dvdtalk.com,amazon.com,4956
mahalo.com,amazon.com,4705
citeulike.org,topix.net,4294
wikieducator.org,groups.google.com,2467
postchronicle.com,reuters.com,2057
mashget.com,reuters.com,1780
mashget.com,huffingtonpost.com,1779
sportsnipe.com,news.bbc.co.uk,1764
sportsnipe.com,philly.com,1443
sportsnipe.com,topix.net,1413
digitalspy.co.uk,news.bbc.co.uk,1269
digitalspy.co.uk,dailymail.co.uk,1265
mashget.com,news.bbc.co.uk,1056
sportsnipe.com,startribune.com,1041
sportsnipe.com,guardian.co.uk,1002
todaystrucking.com,theglobeandmail.com,946
mahalo.com,topix.net,940
sportsnipe.com,boston.com,912
mashget.com,uk.reuters.com,858
tucsoncitizen.com,topix.net,795
envirolink.org,guardian.co.uk,786
sportsnipe.com,kansascity.com,768
sportsnipe.com,seattletimes.nwsource.com,723
me-ontarget.com,amazon.com,700
mashget.com,washingtonpost.com,661
digitalspy.co.uk,guardian.co.uk,600
mahalo.com,news.bbc.co.uk,590
sportsnipe.com,cbc.ca,564
mashget.com,guardian.co.uk,530
amazon.com,guardian.co.uk,515
us.rd.yahoo.com,seekingalpha.com,513
forum.tabletpcreviewspot.com,forum.digitalcamerareview.com,512
todaystrucking.com,cbc.ca,474
todaystrucking.com,reuters.com,473
amazon.com,washingtonpost.com,464
mahalo.com,washingtonpost.com,459
mahalo.com,cnn.com,456
mashget.com,forbes.com,455
mashget.com,latimes.com,452
scouty.de,oneview.de,444
ameblo.jp,blog.livedoor.jp,438
wikieducator.org,slideshare.net,432
blogs.myspace.com,amazon.com,411
plaza.rakuten.co.jp,ameblo.jp,409
mashget.com,telegraph.co.uk,390
news.com.au,theaustralian.news.com.au,365
amazon.com,latimes.com,344
ameblo.jp,plaza.rakuten.co.jp,342
neighbors.denverpost.com,freerepublic.com,337
mashget.com,marketwatch.com,330
amazon.com,theglobeandmail.com,319
sportsnipe.com,post-gazette.com,312
mashget.com,cnn.com,311
palgn.com.au,news.com.au,308
mahalo.com,sfgate.com,304
inciclopedia.wikia.com,frikipedia.es,297
mashget.com,bizjournals.com,283
forums.macrumors.com,amazon.com,276
mahalo.com,latimes.com,273
mashget.com,nydailynews.com,268
us.rd.yahoo.com,tucsoncitizen.com,251
townhall.com,amazon.com,248
mahalo.com,boston.com,248
sportsnipe.com,abc.net.au,243
mahalo.com,reuters.com,235
mahalo.com,guardian.co.uk,235
digitalspy.co.uk,telegraph.co.uk,234
forum.brighthand.com,amazon.com,233
sportsnipe.com,chicagotribune.com,228
sportsnipe.com,chron.com,228
chacha.com,answers.yahoo.com,226
mahalo.com,nydailynews.com,224
mashget.com,chron.com,222
sportsnipe.com,latimes.com,222
mashget.com,chicagotribune.com,220
sportsnipe.com,news.com.au,204
sportsnipe.com,mercurynews.com,204
boston.com,topix.net,198
chacha.com,amazon.com,191
mahalo.com,yelp.com,190
rss.feedsportal.com,news.bbc.co.uk,186
sportsnipe.com,washingtonpost.com,183
blog.livedoor.jp,ameblo.jp,182
mahalo.com,telegraph.co.uk,175
mahalo.com,huffingtonpost.com,174
guardian.co.uk,news.bbc.co.uk,173
sportsnipe.com,sfgate.com,168
aussie-nintendo.com,amazon.com,166
mashget.com,philly.com,163
mashget.com,boston.com,162
forums.allaboutjazz.com,amazon.com,160
cnn.com,topix.net,159
sportsnipe.com,sacbee.com,156
sportsnipe.com,telegraph.co.uk,156
sportsnipe.com,baltimoresun.com,153
forums.macrumors.com,news.bbc.co.uk,149
forums.somd.com,cnn.com,144
forums.somd.com,washingtonpost.com,135
chacha.com,cnn.com,134
mahalo.com,cbc.ca,130
pr-inside.com,marketwire.com,127
forum.prisonplanet.com,washingtonpost.com,127
mahalo.com,chron.com,124
chacha.com,articlesbase.com,119
mahalo.com,chicagotribune.com,112
mahalo.com,dailymail.co.uk,108
forums.somd.com,huffingtonpost.com,108
sportsnipe.com,nydailynews.com,105
boston.com,amazon.com,103
us.rd.yahoo.com,forbes.com,103
mahalo.com,seattletimes.nwsource.com,103
rss.feedsportal.com,guardian.co.uk,101
todaystrucking.com,washingtonpost.com,101
mahalo.com,philly.com,100
mahalo.com,forbes.com,99
salon.com,washingtonpost.com,97
us.rd.yahoo.com,boston.com,93
theaustralian.news.com.au,news.com.au,92
mahalo.com,post-gazette.com,91
mahalo.com,salon.com,91
inciclopedia.wikia.com,desciclo.pedia.ws,90
forum.prisonplanet.com,reuters.com,88
mashget.com,dailymail.co.uk,88
mashget.com,abc.net.au,86
huffingtonpost.com,amazon.com,84
chicagotribune.com,amazon.com,84
mashget.com,seattletimes.nwsource.com,83
plaza.rakuten.co.jp,blog.livedoor.jp,83
mashget.com,newsday.com,82
huffingtonpost.com,washingtonpost.com,81
sportsnipe.com,bizjournals.com,78
salon.com,amazon.com,78
seekingalpha.com,reuters.com,76
sfbay.craigslist.org,amazon.com,76
aussie-nintendo.com,news.bbc.co.uk,74
guardian.co.uk,telegraph.co.uk,72
sportsnipe.com,newsday.com,72
mahalo.com,startribune.com,72
mahalo.com,marketwatch.com,71
envirolink.org,cnn.com,71
mahalo.com,newsday.com,67
forum.prisonplanet.com,news.bbc.co.uk,66
chacha.com,answerbag.com,66
salon.com,huffingtonpost.com,65
chacha.com,yelp.com,65
mahalo.com,baltimoresun.com,64
rss.feedsportal.com,dailymail.co.uk,64
us.rd.yahoo.com,guardian.co.uk,63
rss.feedsportal.com,telegraph.co.uk,63
us.rd.yahoo.com,earthtimes.org,63
forum.dvdtalk.com,cnn.com,63
sportsnipe.com,rss.feedsportal.com,63
mashget.com,kansascity.com,62
earthtimes.org,prnewswire.com,61
mahalo.com,abc.net.au,61
sportsnipe.com,reuters.com,57
sportsnipe.com,prnewswire.com,57
seattle.craigslist.org,amazon.com,56
mahalo.com,billboard.com,56
rss.feedsportal.com,reuters.com,55
heroeswiki.com,reuters.com,55
sportsnipe.com,theglobeandmail.com,54
mahalo.com,mercurynews.com,53
mahalo.com,news.com.au,52
postchronicle.com,huffingtonpost.com,52
newyork.craigslist.org,amazon.com,51
mahalo.com,uk.reuters.com,50
us.rd.yahoo.com,mercurynews.com,50
forums.macrumors.com,cnn.com,49
guardian.co.uk,washingtonpost.com,49
losangeles.craigslist.org,amazon.com,48
forum.dvdtalk.com,us.rd.yahoo.com,48
seekingalpha.com,marketwatch.com,47
salon.com,guardian.co.uk,47
digitalspy.co.uk,huffingtonpost.com,47
forum.dvdtalk.com,dailymail.co.uk,47
uncyclopedia.wikia.com,groups.google.com,46
us.rd.yahoo.com,financial.de,46
blog.livedoor.jp,plaza.rakuten.co.jp,46
lostpedia.wikia.com,answers.yahoo.com,46
sportsnipe.com,tucsoncitizen.com,45
us.rd.yahoo.com,marketwatch.com,44
newsday.com,latimes.com,44
salon.com,marketwatch.com,44
digitalspy.co.uk,uk.news.yahoo.com,43
forum.prisonplanet.com,telegraph.co.uk,43
seekingalpha.com,amazon.com,42
sportsnipe.com,dailyherald.com,42
inciclopedia.wikia.com,uncyclopedia.wikia.com,42
amazon.com,boston.com,42
chacha.com,news.bbc.co.uk,42
us.rd.yahoo.com,reuters.com,41
forums.somd.com,reuters.com,41
boston.craigslist.org,amazon.com,40
newsday.com,topix.net,40
digitalspy.co.uk,washingtonpost.com,39
neighbors.denverpost.com,washingtonpost.com,39
mashget.com,startribune.com,38
us.rd.yahoo.com,allafrica.com,38
vz.ru,reuters.com,38
chacha.com,forbes.com,38
salon.com,startribune.com,37
forum.dvdtalk.com,nydailynews.com,37
forums.somd.com,amazon.com,37
identi.ca,news.bbc.co.uk,36
mahalo.com,kansascity.com,36
seekingalpha.com,forbes.com,35
forums.macrumors.com,forbes.com,35
us.rd.yahoo.com,amazon.com,35
forum.prisonplanet.com,cnn.com,35
desciclo.pedia.ws,inciclopedia.wikia.com,35
heroeswiki.com,uncyclopedia.wikia.com,34
salon.com,reuters.com,34
forums.macrumors.com,reuters.com,34
digitalspy.co.uk,marketwatch.com,34
uncyclopedia.wikia.com,dailymail.co.uk,34
guardian.co.uk,latimes.com,33
pr-inside.com,topix.net,33
townhall.com,washingtonpost.com,33
mercurynews.com,amazon.com,32
huffingtonpost.com,news.bbc.co.uk,32
forum.dvdtalk.com,billboard.com,32
guardian.co.uk,dailymail.co.uk,32
news.com.au,dailymail.co.uk,31
cnn.com,amazon.com,31
thedailypage.com,amazon.com,31
chicagotribune.com,topix.net,30
inciclopedia.wikia.com,news.bbc.co.uk,30
golivewire.com,news.bbc.co.uk,30
forum.dvdtalk.com,reuters.com,30
digitalspy.co.uk,amazon.com,30
huffingtonpost.com,cnn.com,29
salon.com,latimes.com,29
g1.globo.com,globoesporte.globo.com,29
baltimoresun.com,topix.net,29
forums.macrumors.com,guardian.co.uk,29
salon.com,cnn.com,29
salon.com,nydailynews.com,29
startribune.com,washingtonpost.com,29
news.com.au,abc.net.au,29
forum.prisonplanet.com,latimes.com,29
sandiego.craigslist.org,amazon.com,28
seekingalpha.com,guardian.co.uk,28
forum.dvdtalk.com,latimes.com,28
earthtimes.org,topix.net,28
frikipedia.es,mx.answers.yahoo.com,28
neighbors.denverpost.com,cnn.com,28
us.rd.yahoo.com,cbc.ca,27
earthtimes.org,marketwire.com,27
seekingalpha.com,washingtonpost.com,27
huffingtonpost.com,latimes.com,27
amazon.com,yelp.com,27
startribune.com,amazon.com,27
mahalo.com,bizjournals.com,26
guardian.co.uk,huffingtonpost.com,26
us.rd.yahoo.com,nydailynews.com,26
forum.dvdtalk.com,forums.slickdeals.net,26
mahalo.com,answers.yahoo.com,25
washingtonpost.com,latimes.com,25
bogleheads.org,amazon.com,25
forums.somd.com,sfgate.com,25
lostpedia.wikia.com,heroeswiki.com,25
forums.somd.com,telegraph.co.uk,25
boston.com,washingtonpost.com,25
forum.dvdtalk.com,news.bbc.co.uk,25
sportsnipe.com,uk.reuters.com,24
postchronicle.com,breitbart.com,24
forum.prisonplanet.com,marketwatch.com,24
rss.feedsportal.com,uk.reuters.com,24
uncyclopedia.wikia.com,sfgate.com,24
sportsnipe.com,rep-am.com,24
digitalspy.co.uk,news.com.au,24
latimes.com,amazon.com,24
mashget.com,baltimoresun.com,24
chacha.com,mahalo.com,24
forums.bit-tech.net,cnn.com,24
guardian.co.uk,reuters.com,23
huffingtonpost.com,guardian.co.uk,23
mahalo.com,theglobeandmail.com,23
wassr.jp,blog.livedoor.jp,23
mahalo.com,townhall.com,23
forum.dvdtalk.com,guardian.co.uk,23
forum.prisonplanet.com,groups.google.com,23
us.rd.yahoo.com,seattletimes.nwsource.com,22
salon.com,news.bbc.co.uk,22
mahalo.com,sacbee.com,22
sportsnipe.com,forbes.com,21
heroeswiki.com,lostpedia.wikia.com,21
chicago.craigslist.org,amazon.com,21
halo.wikia.com,starwars.wikia.com,21
sportsnipe.com,postchronicle.com,21
digitalspy.co.uk,lostpedia.wikia.com,21
chacha.com,billboard.com,21
forums.comicbookresources.com,amazon.com,20
forums.somd.com,dailymail.co.uk,20
boston.com,rep-am.com,20
huffingtonpost.com,salon.com,20
ameblo.jp,wassr.jp,20
forum.gateworld.net,news.bbc.co.uk,20
uncyclopedia.wikia.com,guardian.co.uk,20
uncyclopedia.wikia.com,inciclopedia.wikia.com,20
wikieducator.org,identi.ca,20
forums.somd.com,latimes.com,20
heroeswiki.com,amazon.com,20
forums.slickdeals.net,telegraph.co.uk,20
wikieducator.org,amazon.com,19
forum.prisonplanet.com,seekingalpha.com,19
nydailynews.com,newsday.com,19
us.rd.yahoo.com,washingtonpost.com,19
salon.com,telegraph.co.uk,19
articlesbase.com,amazon.com,19
forum.prisonplanet.com,uk.reuters.com,19
starwars.wikia.com,latimes.com,19
townhall.com,huffingtonpost.com,19
lyricwiki.org,amazon.com,18
uncyclopedia.wikia.com,news.bbc.co.uk,18
philly.com,nydailynews.com,18
salon.com,forbes.com,18
starwars.wikia.com,news.bbc.co.uk,18
seekingalpha.com,alacrastore.com,18
guardian.co.uk,topix.net,18
forums.bit-tech.net,amazon.com,18
forum.dvdtalk.com,washingtonpost.com,17
sportsnipe.com,cnn.com,17
starwars.wikia.com,wowwiki.com,17
seekingalpha.com,telegraph.co.uk,17
globoesporte.globo.com,g1.globo.com,17
mahalo.com,breitbart.com,17
salon.com,news.com.au,17
forums.macrumors.com,huffingtonpost.com,17
rss.feedsportal.com,latimes.com,17
chacha.com,dailymail.co.uk,17
miami.craigslist.org,amazon.com,16
vz.ru,cnn.com,16
wikieducator.org,cnn.com,16
salon.com,topix.net,16
inciclopedia.wikia.com,mx.answers.yahoo.com,16
freerepublic.com,amazon.com,16
salon.com,sfgate.com,16
mahalo.com,groups.google.com,16
guardian.co.uk,forbes.com,16
chacha.com,huffingtonpost.com,16
chacha.com,guardian.co.uk,16
forum.brighthand.com,forums.macrumors.com,16
identi.ca,guardian.co.uk,15
earthtimes.org,amazon.com,15
evga.com,amazon.com,15
golivewire.com,cnn.com,15
sportsnipe.com,earthtimes.org,15
freerepublic.com,washingtonpost.com,15
seekingalpha.com,uk.reuters.com,15
guardian.co.uk,amazon.com,15
lostpedia.wikia.com,digitalspy.co.uk,15
rss.feedsportal.com,nydailynews.com,15
sportsnipe.com,huffingtonpost.com,15
forums.somd.com,salon.com,15
philly.com,washingtonpost.com,15
huffingtonpost.com,reuters.com,14
us.rd.yahoo.com,telegraph.co.uk,14
forum.dvdtalk.com,boston.com,14
sacbee.com,latimes.com,14
us.rd.yahoo.com,dailymail.co.uk,14
seattletimes.nwsource.com,amazon.com,14
rss.feedsportal.com,amazon.com,14
startribune.com,huffingtonpost.com,14
chacha.com,washingtonpost.com,14
forum.prisonplanet.com,theglobeandmail.com,14
forum.dvdtalk.com,philly.com,13
identi.ca,groups.google.com,13
seekingalpha.com,huffingtonpost.com,13
freerepublic.com,nydailynews.com,13
sacbee.com,sfgate.com,13
forum.prisonplanet.com,guardian.co.uk,13
huffingtonpost.com,uk.reuters.com,13
mahalo.com,dailyherald.com,13
uncyclopedia.wikia.com,boston.com,13
forums.mozillazine.org,groups.google.com,13
huffingtonpost.com,telegraph.co.uk,13
forum.prisonplanet.com,nydailynews.com,13
forums.somd.com,news.bbc.co.uk,13
ameblo.jp,yelp.com,13
forums.bit-tech.net,news.bbc.co.uk,13
forums.somd.com,philly.com,13
prnewswire.com,amazon.com,13
freerepublic.com,news.bbc.co.uk,13
forums.somd.com,townhall.com,13
salon.com,uk.reuters.com,13
salon.com,newsday.com,13
chacha.com,latimes.com,13
seekingalpha.com,latimes.com,12
huffingtonpost.com,boston.com,12
mahalo.com,postchronicle.com,12
mahalo.com,theaustralian.news.com.au,12
marketwatch.com,topix.net,12
huffingtonpost.com,sfgate.com,12
forum.dvdtalk.com,lostpedia.wikia.com,12
baltimoresun.com,washingtonpost.com,12
forums.hardwarezone.com,dailymail.co.uk,12
mahalo.com,seekingalpha.com,12
forbes.com,amazon.com,12
wowwiki.com,starwars.wikia.com,12
sportsnipe.com,marketwire.com,12
cnn.com,billboard.com,12
sportsnipe.com,theaustralian.news.com.au,12
forum.dvdtalk.com,boston.craigslist.org,12
townhall.com,dailymail.co.uk,12
forum.prisonplanet.com,torrentportal.com,12
groups.google.com,cnn.com,12
groups.google.com,dailymail.co.uk,12
chacha.com,boston.com,12
identi.ca,amazon.com,11
forum.dvdtalk.com,telegraph.co.uk,11
boston.com,newsday.com,11
forums.somd.com,boston.com,11
baltimoresun.com,latimes.com,11
salon.com,chicagotribune.com,11
us.rd.yahoo.com,latimes.com,11
forums.somd.com,breitbart.com,11
postchronicle.com,chicagotribune.com,11
news.com.au,telegraph.co.uk,11
forum.dvdtalk.com,answers.yahoo.com,11
chacha.com,telegraph.co.uk,11
chacha.com,sfgate.com,11
philly.com,post-gazette.com,10
us.rd.yahoo.com,news.bbc.co.uk,10
guardian.co.uk,cnn.com,10
us.rd.yahoo.com,cnn.com,10
mahalo.com,earthtimes.org,10
forum.prisonplanet.com,theaustralian.news.com.au,10
freerepublic.com,guardian.co.uk,10
philly.com,boston.com,10
guardian.co.uk,boston.com,10
forum.dvdtalk.com,breitbart.com,10
pr-inside.com,amazon.com,10
forum.dvdtalk.com,chron.com,10
boston.com,nydailynews.com,10
forum.digitalcamerareview.com,forum.tabletpcreviewspot.com,10
news.bbc.co.uk,guardian.co.uk,10
forums.macrumors.com,boston.com,10
forum.dvdtalk.com,forbes.com,10
digitalspy.co.uk,newsday.com,10
seekingalpha.com,cnn.com,9
forums.somd.com,guardian.co.uk,9
mahalo.com,prnewswire.com,9
sfgate.com,cnn.com,9
