domain,post_count,degree
scouty.de,15399,162444
newsticker.welt.de,49441,162000
sportsnipe.com,55289,18023
guardian.co.uk,32905,16484
amazon.com,20775,15075
indeed.com,9081,11913
mahalo.com,14085,11032
mashget.com,18267,10395
topix.net,12942,8012
us.rd.yahoo.com,55192,6771
news.bbc.co.uk,36440,5699
forum.dvdtalk.com,14718,5458
reuters.com,12686,5187
citeulike.org,29516,4294
digitalspy.co.uk,40575,3708
wikieducator.org,7819,2954
huffingtonpost.com,19502,2794
washingtonpost.com,19976,2740
groups.google.com,17450,2602
postchronicle.com,9913,2207
todaystrucking.com,10073,1994
boston.com,19613,1963
philly.com,38364,1828
dailymail.co.uk,12375,1794
cnn.com,8952,1760
latimes.com,11372,1707
ameblo.jp,98134,1409
theglobeandmail.com,11250,1381
telegraph.co.uk,8048,1332
startribune.com,74410,1269
cbc.ca,7635,1217
news.com.au,48527,1164
chacha.com,36743,1106
tucsoncitizen.com,8723,1104
uk.reuters.com,10206,1050
seattletimes.nwsource.com,13787,957
seekingalpha.com,8630,894
forbes.com,20628,886
kansascity.com,10442,883
plaza.rakuten.co.jp,27897,880
envirolink.org,20366,857
nydailynews.com,16876,819
salon.com,18061,777
blog.livedoor.jp,22771,777
chicagotribune.com,10635,739
me-ontarget.com,10466,700
forums.somd.com,8952,656
sfgate.com,8170,642
rss.feedsportal.com,64273,641
forums.macrumors.com,8435,629
marketwatch.com,15110,619
chron.com,19429,598
forum.prisonplanet.com,18475,564
inciclopedia.wikia.com,14114,544
forum.tabletpcreviewspot.com,9740,522
forum.digitalcamerareview.com,26744,522
theaustralian.news.com.au,10256,491
freerepublic.com,17944,476
slideshare.net,43906,448
oneview.de,8943,444
abc.net.au,8615,430
blogs.myspace.com,111280,419
neighbors.denverpost.com,40333,419
post-gazette.com,11031,413
bizjournals.com,17199,394
newsday.com,8415,376
townhall.com,7993,374
mercurynews.com,9993,339
frikipedia.es,12011,331
baltimoresun.com,10707,330
answers.yahoo.com,13027,314
palgn.com.au,16488,308
yelp.com,19611,301
uncyclopedia.wikia.com,33766,264
forum.brighthand.com,30717,249
aussie-nintendo.com,18984,240
earthtimes.org,19671,225
sacbee.com,8216,210
pr-inside.com,38379,193
marketwire.com,12556,171
forums.allaboutjazz.com,8269,160
heroeswiki.com,10787,155
prnewswire.com,16747,154
lostpedia.wikia.com,16221,147
articlesbase.com,20771,138
desciclo.pedia.ws,15277,131
billboard.com,10617,128
identi.ca,47634,119
golivewire.com,35426,92
breitbart.com,11274,88
starwars.wikia.com,23012,87
sfbay.craigslist.org,113277,83
answerbag.com,20607,73
vz.ru,11004,66
forums.bit-tech.net,9623,61
seattle.craigslist.org,125124,56
dailyherald.com,7625,55
losangeles.craigslist.org,98788,53
boston.craigslist.org,96005,52
forums.slickdeals.net,14198,52
g1.globo.com,23546,52
newyork.craigslist.org,98477,51
globoesporte.globo.com,10958,46
financial.de,8377,46
rep-am.com,13393,44
mx.answers.yahoo.com,65536,44
uk.news.yahoo.com,15432,43
wassr.jp,26519,43
allafrica.com,9463,38
thedailypage.com,13984,31
bogleheads.org,11104,31
forums.comicbookresources.com,30949,29
wowwiki.com,14905,29
sandiego.craigslist.org,100479,28
chicago.craigslist.org,118204,21
halo.wikia.com,12179,21
forum.gateworld.net,28848,20
alacrastore.com,15285,18
lyricwiki.org,9845,18
miami.craigslist.org,91603,16
evga.com,14015,15
forums.mozillazine.org,44930,13
torrentportal.com,41927,12
forums.hardwarezone.com,77218,12
boards.cruisecritic.com,29506,9
taringa.net,8300,8
ots.at,8933,8
friendstertalk.com,11697,7
thefacts.com,17034,6
investegate.co.uk,8541,6
regnum.ru,10431,6
washingtondc.craigslist.org,46150,5
fixya.com,27095,5
forum.realityfanforum.com,12494,0
innit.nuffnang.com,7803,0
sun-weekend.com,9277,0
london.kijiji.ca,28984,0
sctv.co.id,9667,0
slmetro.com,19069,0
oshawa.kijiji.ca,20291,0
